Japanese,Chinese,Example_JP,Example_CN,Example_Furigana,Grammar_Notes,Audio_Path
ああ,那样,ああ言われると困ります。,那样一说我就为难了。,<ruby>ああ<rt>ああ</rt></ruby><ruby>言われる<rt>いわれる</rt></ruby>と<ruby>困ります<rt>こまります</rt></ruby>。,<ol><li><ruby>ああ</ruby>用于指示程度、样子，相当于“那样”。例：ああはできません。</li><li>动词被动形：<ruby>言われる</ruby>表示“被说”。例：先生にほめられる。</li></ol>,[sound:jlpt_vocabulary_in_sentence_ああ.mp3]
会う,见面,明日友達に会う予定です。,我打算明天和朋友见面。,<ruby>明日<rt>あした</rt></ruby><ruby>友達<rt>ともだち</rt></ruby>に<ruby>会う<rt>あう</rt></ruby><ruby>予定<rt>よてい</rt></ruby>です。,<ol><li><ruby>に</ruby><rt>に</rt></ruby>表示动作的对象，如“友達に会う”。</li><li><ruby>予定</ruby><rt>よてい</rt></ruby>表示计划，如“明日行く予定”。</li></ol>,[sound:jlpt_vocabulary_in_sentence_会う.mp3]
青,蓝色,空は青が広がっています。,天空是一片蓝色。,<ruby>空<rt>そら</rt></ruby>は<ruby>青<rt>あお</rt></ruby>が<ruby>広がっています<rt>ひろがっています</rt></ruby>。,<ol><li>「は」是主题助词，常用于提示句子的主题，如「私は学生です」。</li><li>「～ています」表示动作正在进行，例如「雨が降っています」。</li></ol>,[sound:jlpt_vocabulary_in_sentence_青.mp3]
青い,蓝色的,彼は青いシャツを着ています。,他穿着蓝色的衬衫。,<ruby>彼<rt>かれ</rt></ruby>は<ruby>青い<rt>あおい</rt></ruby>シャツを<ruby>着ています<rt>きています</rt></ruby>。,<ol><li>日语形容词接体言变成定语，如「青いシャツ（蓝色的衬衫）」。</li><li>助词「を」用来标记动作的对象，例如「シャツを着る（穿衬衫）」。</li></ol>,[sound:jlpt_vocabulary_in_sentence_青い.mp3]
赤,红色,赤い花が咲いています。,红色的花开着。,<ruby>赤い<rt>あかい</rt></ruby><ruby>花<rt>はな</rt></ruby>が<ruby>咲いて<rt>さいて</rt></ruby><ruby>います。<rt>います。</rt></ruby>,<ol><li>「い形容词」直接修饰名词，例如赤い花（红色的花）。</li><li>动词「ている」表示某动作正在进行，如咲いています（正在开花）。</li></ol>,[sound:jlpt_vocabulary_in_sentence_赤.mp3]
赤い,红色的,赤い花がとてもきれいです。,红色的花非常漂亮。,<ruby>赤い<rt>あかい</rt></ruby><ruby>花<rt>はな</rt></ruby>がとてもきれいです。,<ol><li><ruby>い形容詞<rt>いけいようし</rt></ruby>作定语时直接放在名词前，如「あかい花」。</li><li>句尾用「です」表达礼貌，如「きれいです」。</li></ol>,[sound:jlpt_vocabulary_in_sentence_赤い.mp3]
明るい,明亮的,この部屋はとても明るいです。,这个房间非常明亮。,<ruby>この<rt>この</rt></ruby><ruby>部屋<rt>へや</rt></ruby>は<ruby>とても<rt>とても</rt></ruby><ruby>明るい<rt>あかるい</rt></ruby><ruby>です<rt>です</rt></ruby>。,<ol><li>「は」表示主题，如「私は学生です。」</li><li>「です」为礼貌结尾，如「これは本です。」</li></ol>,[sound:jlpt_vocabulary_in_sentence_明るい.mp3]
秋,秋天,秋になると葉が赤くなる。,到秋天时树叶会变红。,<ruby>秋<rt>あき</rt></ruby>になると<ruby>葉<rt>は</rt></ruby>が<ruby>赤く<rt>あかく</rt></ruby>なる。,<ol><li>「に」表示时间点，如「三時に行きます」。</li><li>动词「なる」表示变化，如「大人になる」。</li></ol>,[sound:jlpt_vocabulary_in_sentence_秋.mp3]
開く,打开,窓を開くと風が入ります。,打开窗户就会有风进来。,<ruby>窓<rt>まど</rt></ruby>を<ruby>開く<rt>ひらく</rt></ruby>と<ruby>風<rt>かぜ</rt></ruby>が<ruby>入ります<rt>はいります</rt></ruby>。,<ol><li>「<ruby>を<rt></rt></ruby>」用作动作对象的标记，如「本を読む」。</li><li>动词普通形+「と」表达“如果……就……”的条件，如「春になると暖かい」。</li></ol>,[sound:jlpt_vocabulary_in_sentence_開く.mp3]
開ける,打开,窓を開けると風が入ります。,打开窗户就会有风进来。,<ruby>窓<rt>まど</rt></ruby>を<ruby>開ける<rt>あける</rt></ruby>と<ruby>風<rt>かぜ</rt></ruby>が<ruby>入ります<rt>はいります</rt></ruby>。,<ol><li><ruby>～を</ruby><rt>～を</rt> 表示动作对象，如「ドアを開ける」。</li><li><ruby>～と</ruby><rt>～と</rt> 表示条件，意思是“一……就……”，如「雨が降ると寒くなる」。</li></ol>,[sound:jlpt_vocabulary_in_sentence_開ける.mp3]
